,Unnamed: 0,Time,LON,LAT,Temperature above oceans,Air density above oceans,Max wave height,Swell period,Wind wave period,Wave period,Sea surface temperature,Combined wind waves and swell height,Swell height,Wind wave height,Surface pressure,Draught,Width,Length,SOG,COG,Heading,Wind Speed,Current Speed,True Wind Direction,True Current Direction,True Swell Direction,True Wind Wave Direction,True Wave Direction,True North Wind Direction,True North Current Direction
8,8,2021-01-01 08:00:00,14.55927495,55.12162905,276.9003906,1.261916161,1.661037803,4.291309357,3.667457581,3.757862091,279.699585,0.86541307,0.323892236,0.801956177,100538.0,5.017722814,24,158,14.57839388,299.5735135,269.9005736,7.648595184,0.104064381,91.13317545,143.0298975,82.45498646,91.13874805,90.49520862,1.0337490659971345,52.93047106873916
9,9,2021-01-01 09:00:00,14.15089594,55.26179856,276.7055664,1.262234688,1.501637459,4.187211037,3.145606995,3.803910255,279.8203125,0.785674632,0.452439547,0.578048706,100602.75,5.019206874,24,158,18.14869565,302.2745078,300.1304348,6.700397065,0.104050155,68.88437721,96.35130268,134.5485866,115.0152004,120.9713314,9.014811984069354,36.48173746615316
10,10,2021-01-01 10:00:00,13.83785895,55.39647945,276.3098145,1.256281853,1.235528469,4.012717247,2.120399475,3.819602013,,0.654635608,0.556524932,0.236434937,100173.0625,5.01966351,24,158,9.686510264,163.9223182,230.1173021,4.089472207,0.09275869,129.9892026,174.6972843,59.29683696,47.90599834,52.49860393,0.10650463757261829,44.81458634590332
11,11,2021-01-01 11:00:00,13.85009009,55.39048487,276.3999023,1.256545067,1.204396725,4.020009041,2.090308189,3.82054615,,0.638782203,0.555404902,0.22618103,100184.1875,5.019008524,24,158,11.25211194,117.0032845,178.6536145,3.821501478,0.09312816,170.8796718,107.9517649,8.221531328,10.31457097,1.236454424,7.773942672440061,70.70184959489508
12,12,2021-01-01 12:00:00,14.15540819,55.2553792,277.1340332,1.262829781,1.27590692,4.095174789,3.029945374,3.815267563,279.8203125,0.67408061,0.598373413,0.263031006,100630.8125,5.020451764,24,158,18.11962747,125.8293849,125.4462963,5.479352572,0.086621479,102.3275046,72.66571451,47.97715036,68.47020761,54.2701954,23.118791718744333,52.78058178890901
13,13,2021-01-01 13:00:00,14.56350932,55.11239861,277.2487793,1.262052536,1.256175518,4.109553337,2.299049377,3.845271111,279.699585,0.664395332,0.611022949,0.254058838,100555.875,5.021528173,24,158,14.3797271,128.3521281,114.0779727,5.38531113,0.083510153,84.72237418,38.66709385,61.77995271,95.65959138,66.66238374,29.355598525445576,75.41087885556857
15,15,2021-01-01 15:00:00,14.62505706,55.10139196,277.3132324,1.261447906,1.126986742,4.03202343,2.227210999,3.823771477,279.8583984,0.599344671,0.562347412,0.190124512,100527.0625,5.019630041,24,158,10.44236111,302.9255763,238.3217593,4.437185899,0.064219864,158.9614248,152.8656212,62.45010093,24.94645408,57.87316612,37.2831840924045,85.45613808521198
16,16,2021-01-01 16:00:00,14.23630801,55.18057346,277.3918457,1.261124611,0.9708004,3.91065979,2.75693512,3.664199829,279.8203125,0.519174814,0.472839355,0.175598145,100662.625,5.021232834,24,158,18.33485401,288.2666756,285.7773085,4.675600126,0.037860808,114.9656474,146.431427,110.3252058,62.59592723,103.1924238,40.74295590303918,72.20873544639176
17,17,2021-01-01 17:00:00,13.81700924,55.22528516,277.0483398,1.262513161,0.906769097,3.73775959,2.86832428,3.430874825,279.7103271,0.488460839,0.407571703,0.215682983,100627.6875,5.019496386,24,158,18.221673,274.6246448,272.1100889,4.595755766,0.080293986,138.0085567,149.4727307,99.21069009,26.76131876,81.91058023,50.11864563970226,-57.3626418307979
18,18,2021-01-01 18:00:00,13.1655469,55.25118787,276.5449219,1.263273239,0.878719568,3.547224998,2.436707497,3.144148827,279.506958,0.476178408,0.358429134,0.297042847,100630.0,5.022319146,24,158,18.21317254,273.6881517,271.6231388,4.378493595,0.016703624,150.3638855,169.372623,90.98973117,23.88087497,64.61319004,61.98702424813498,
