,Unnamed: 0,Time,LON,LAT,Temperature above oceans,Air density above oceans,Max wave height,Swell period,Wind wave period,Wave period,Sea surface temperature,Combined wind waves and swell height,Swell height,Wind wave height,Surface pressure,Draught,Width,Length,SOG,COG,Heading,Wind Speed,Current Speed,True Wind Direction,True Current Direction,True Swell Direction,True Wind Wave Direction,True Wave Direction,stw,northcurrdir,nortwinddir
119,119,2021-06-01 00:00:00,12.96316898,55.24525881,275.8239746,1.283480644,3.358080387,6.738088608,4.925452232,5.291555405,278.6616211,1.759765148,0.743164122,1.583740234,101818.8125,5.281861195,24,158,18.9989056,102.8321303,100.7823128,10.24896621,0.14491385,100.9892882,164.8718078,15.55404897,66.84349294,57.26852651,18.72997221771122,85.65412064270289,21.771600994054808
120,120,2021-06-01 01:00:00,13.55318435,55.19053214,275.9240112,1.283425331,3.578119516,7.185143471,5.34244442,5.697813988,278.9360352,1.950242281,0.841925144,1.757568359,101644.9375,5.289403447,24,158,19.33427835,98.69117704,96.93481604,11.3646779,0.246219514,108.737155,153.650411,11.07167212,60.4558808,51.3139321,18.913458515472726,70.58522700455468,25.67197104442127
121,121,2021-06-01 02:00:00,14.07399117,55.14390237,276.2850342,1.279011726,4.184913635,7.260825157,5.460486412,6.12647438,279.2099609,2.189788342,0.933935583,1.910705566,101580.8125,5.288446472,24,158,18.91104651,99.59861631,97.52575848,12.66694636,0.284314763,114.9107294,153.0315894,16.28135845,57.08651135,46.89410565,18.429832867834314,70.55734784982364,32.436487836875784
122,122,2021-06-01 03:00:00,14.56445018,55.09664845,277.1894836,1.269904137,4.908680439,6.808745384,6.225745201,6.28467083,279.2165527,2.565229893,0.723303258,2.452636719,101339.9375,5.290781474,24,158,13.85493274,88.4755736,106.9415211,13.38699935,0.30042793,123.5689837,153.6432266,69.17515224,55.50728649,56.52793926,13.276732348607997,80.584747685134,50.51050483811832
126,126,2021-06-01 07:00:00,14.64401502,55.10238224,277.4087524,1.263998985,4.621825695,6.813304901,5.970984459,6.291378021,279.3198242,2.414834499,1.022894382,2.130981445,101123.8125,4.842367335,24,158,9.30519802,142.835632,227.6808373,12.05329298,0.262896919,26.47663319,41.76675845,158.6323741,159.050718,167.1928879,9.009772419640363,89.44759568155038,74.15747050421676
129,129,2021-06-01 10:00:00,13.82600438,55.42110526,276.0046387,1.268574715,3.119271278,6.767655373,4.237586021,5.891542435,,1.658427835,1.184057832,1.061767578,100869.5,4.851855035,24,158,0.822935534,87.13630632,244.9702893,8.569408108,0.281402178,4.559514048,22.90015488,175.864996,179.3329754,175.5160199,0.2760798521461382,87.87044415287384,60.410775224238705
131,131,2021-06-01 12:00:00,14.48721435,55.12140653,277.2685547,1.267037392,3.283718586,6.891044617,4.686805725,5.876344681,279.2165527,1.731216788,1.167187691,1.231018066,101080.0625,4.925343782,24,158,18.70288891,108.8129795,107.899157,9.328640612,0.133046995,156.8112171,154.9016,57.73243952,24.48407221,41.3853631,18.470818134535797,82.80075705212023,84.7103741580107
134,134,2021-06-01 15:00:00,14.52516968,55.11801834,277.2207031,1.265203476,2.827530861,6.624643326,4.26285553,5.585642815,279.2165527,1.490863204,1.038464427,1.032348633,100981.25,5.202803528,24,158,16.15525813,288.3316156,270.6596558,9.022607149,0.139192389,1.584057665,10.9615102,144.1353805,178.7617309,159.7753036,15.886580949642717,-78.37883396798782,89.07559816463628
136,136,2021-06-01 17:00:00,13.36621903,55.24656043,276.9577637,1.265953064,1.978779793,5.844940186,3.506385803,4.913140297,278.8200684,1.052649975,0.798816144,0.676940918,100961.5625,5.199673346,24,158,20.12619589,273.5765612,271.9689832,7.91706842,0.088905069,17.08759371,15.09550619,155.6100116,172.509891,161.4790988,19.958189277298775,-72.93551063684106,74.88138946672164
137,137,2021-06-01 18:00:00,12.85542759,55.28094133,275.3811035,,,,,,,,,,101061.0,5.199754281,24,158,19.24844461,286.8992329,285.3431647,7.019602589,0.130746877,54.50090353,15.17564201,,,,19.001539494312244,-59.48119333383545,50.842261124546035
